   1  48  -0.059
   1 102  -0.189
   1  47   0.077
   2  47   0.039
   1  40   0.126
   2  40   0.258
   1  41  -0.055
   2  41  -0.193
  dcur_p=  0.1022288      dcur_s=  0.1008787    
          15  -41.74158       3.117275       11.66926              25
   1  41   0.312
   2  41   0.292
   1  39   0.225
   2  39   0.217
   1  40   0.243
   1  42   0.018
   2  42  -0.114
   1  48   0.077
   1  47   0.071
   2  47  -0.167
   1  98   0.153
   1  52  -0.024
   1  44  -0.097
   2  44  -0.357
   1  51  -0.009
   1  38  -0.173
   2  38   0.268
   1  50  -0.106
   1 102  -0.175
   1  94  -0.282
   1   9  -0.122
   2   9   0.103
   1  45   0.072
   1 108  -0.397
   1 107  -0.582
  dcur_p=  0.1743259      dcur_s=  0.2168034    
          16  -6.062423      -10.10483       17.36707              28
   1  42   0.485
   2  42   0.599
   1  39   0.007
   2  39   0.005
   1  48  -0.048
   2  48  -0.113
   1  52  -0.038
   2  52   0.094
   1  47  -0.176
   2  47  -0.237
   1  41  -0.185
   2  41  -0.197
   1  44  -0.155
   2  44  -0.273
   1  38  -0.082
   2  38  -0.201
   1  40  -0.235
   2  40  -0.419
   1  50  -0.334
   1   9  -0.245
   2   9  -0.098
   1  51  -0.246
   2  51  -0.102
   1 102   0.465
   1  94   0.268
   1  98   0.668
   1 108   0.255
   1 107   0.617
  dcur_p=  0.2652340      dcur_s=  0.2125075    
          17   33.49657       93.28903       92.68265              16
   1  50  -0.157
   2  50  -0.070
   1  44  -0.102
   1  47   0.266
   1  40   0.134
   2  40  -0.071
   1  38  -0.046
   2  38   0.429
   1  52  -0.148
   2  52  -0.208
   1   9   0.071
   2   9   0.193
   1  41  -0.414
   1  39   0.101
   1  45   0.304
   2  45  -0.171
  dcur_p=  0.1742833      dcur_s=  0.1902628    
          18  -30.99155      -1.026731       18.84520              17
   1  41  -0.332
   2  41  -0.328
   1  39  -0.116
   2  39   0.077
   1  48  -0.061
   2  48  -0.007
   1  40  -0.172
   2  40  -0.227
   2  47  -0.029
   1  52   0.037
   2  52  -0.124
   1  44   0.023
   1  38   0.011
   2  38  -0.012
   1  50   0.105
   1  98   0.087
   1 102   0.705
  dcur_p=  0.1650887      dcur_s=  0.1149387    
          19  -36.38321       3.124175       17.29157              20
   1  41  -0.095
   2  41  -0.139
   1  39   0.060
   2  39   0.133
   2  42   0.299
   1  40  -0.086
   2  40  -0.044
   1  48  -0.011
   2  48   0.215
   1  47  -0.110
   2  47  -0.267
   1  52  -0.011
   2  52   0.115
   1  44  -0.052
   1  98   0.199
   1  51  -0.373
   1  38  -0.057
   1  50  -0.334
   1 102   0.513
   1  94   0.368
  dcur_p=  0.1746630      dcur_s=  0.1731834    
          20  -6.644829       16.22999       14.65958              21
   1  39   0.067
   2  39  -0.101
   1  48  -0.080
   2  48  -0.223
   1  47  -0.051
   2  47  -0.190
   1  40   0.040
   2  40  -0.112
   1  41   0.073
   2  41  -0.023
   1  42   0.106
   2  42   0.240
   1  52   0.077
   2  52   0.008
   1  44   0.007
   2  44  -0.066
   1  51   0.130
   2  51   0.093
   1  38   0.114
   2  38  -0.016
