  -69.50390      -18.05100       130.1000    
  -73.29440      -36.40010       25.40000    
  -73.94460      -15.66170       70.80000    
  -71.73300      -30.84000       40.40000    
  -78.51310      -10.54170       58.20000    
  -70.25900      -16.73450       39.20000    
  -71.59680      -32.56800       34.20000    
  -67.45300      -32.33580       33.70000    
  -66.46980      -20.30600       231.2000    
  -75.42230      -10.23460       14.40000    
  -74.96960      -12.45510       38.30000    
  -74.33050      -42.54350       43.40000    
  -69.08270      -18.31820       126.7000    
  -71.74650      -30.83320       13.40000    
  -68.95460      -19.55290       114.6000    
  -75.61230      -10.06290       110.1000    
  -76.92810      -13.52740       28.40000    
  -69.52490      -20.84730       59.30000    
  -71.82600      -32.67000       36.70000    
  -63.62020      -30.97320      0.0000000E+00
  -70.65930      -13.00720      0.0000000E+00
  -70.36220      -32.19070       110.3000    
  -76.16450      -14.28670       41.20000    
  -70.22850      -20.46690       36.20000    
  -71.81170      -30.98300       36.50000    
  -72.01760      -29.68450       14.10000    
  -72.41370      -34.51040       7.400000    
  -68.10060      -21.38570       110.1000    
  -75.40960      -10.21050       24.30000    
  -69.88280      -32.55050       127.5000    
  -71.18760      -18.33820       5.200000    
  -68.73450      -21.13960       110.9000    
  -71.19800      -30.65870       57.40000    
  -71.94040      -32.44280       17.70000    
  -73.67020      -37.29960       23.50000    
  -71.45500      -31.98800       35.30000    
  -68.47480      -21.24440       116.5000    
  -71.15420      -18.15370       35.20000    
  -70.83930      -16.63870       117.1000    
  -69.08810      -20.80430       90.80000    
  -73.67710      -7.559500       190.2000    
  -71.73060      -32.90930       37.80000    
  -68.45070      -21.26060       124.1000    
  -70.42680      -15.29290       203.2000    
  -66.44890      -21.39530       206.5000    
  -71.67060      -37.08250       88.10000    
  -70.66990      -19.74800       10.00000    
  -70.71770      -19.73870      0.1000000    
  -68.91180      -20.20450       100.2000    
  -70.58380      -19.76750       10.00000    
  -70.71890      -19.83320       10.70000    
  -71.92760      -32.48640       15.90000    
  -79.42120      -11.33550       35.00000    
  -72.73450      -28.61060       28.20000    
  -74.42130      -15.56440       44.10000    
  -68.74700      -31.48500       111.0000    
  -68.73010      -33.12430       23.30000    
  -72.75460      -16.84920       56.50000    
  -70.68620      -14.42770       35.00000    
  -71.88340      -29.67300       34.60000    
  -74.70080      -15.83940       34.10000    
  -75.29910      -10.34610       35.20000    
  -73.47310      -17.35040       42.60000    
  -68.17030      -21.50900       126.0000    
  -70.57910      -32.64320       98.80000    
  -67.14630      -31.75310       142.0000    
  -74.66280      -8.746000       140.1000    
  -69.26780      -19.01770       108.7000    
  -74.69350      -11.23040       113.2000    
  -72.35100      -33.94170       28.70000    
  -72.39740      -33.93270       11.70000    
  -67.08870      -31.76290       139.1000    
  -72.14190      -35.69390       45.80000    
  -73.16770      -15.60730       108.3000    
  -69.20450      -19.20410       76.20000    
  -71.43640      -31.29480       43.80000    
  -69.24840      -18.02540       126.5000    
  -71.86030      -31.44740       15.30000    
  -71.77070      -31.45200       26.70000    
  -71.38090      -30.25940       39.90000    
  -68.24610      -21.00990       142.7000    
  -66.39850      -21.53510       177.8000    
  -76.66790      -13.49670       34.30000    
  -74.83940      -9.792600       122.9000    
  -65.52720      -21.80810       282.9000    
  -71.73600      -30.87300       27.20000    
  -76.64160      -13.39320       29.50000    
  -76.59220      -13.34630       29.70000    
  -70.37620      -15.25630       204.9000    
  -70.09000      -19.97400       46.50000    
  -75.22280      -12.28760       72.80000    
  -69.03300      -19.30000       121.1000    
  -74.93820      -15.68110       13.90000    
  -69.56570      -31.83020       115.4000    
  -70.16050      -17.69360       41.50000    
  -74.88170      -40.05950       9.100000    
  -71.78370      -16.11990       118.7000    
  -73.63420      -14.53750       67.20000    
  -71.68210      -30.40340       31.90000    
  -71.87390      -31.47140       39.30000    
  -76.69670      -14.03190       42.60000    
  -71.05630      -37.91520       41.90000    
